ID,diet,ageatdeath_w,P_kJ.g,C_kJ.g,F_kJ.g,sex
130_2,SF09-061,3,1.12,2.32,4.56,F
212_2,SF09-051,4,0.85,3.4,12.75,F
257_1,SF09-045,6,10.2,3.4,3.4,M
158_3,SF09-048,7,0.85,12.75,3.4,F
160_2,SF09-051,7,0.85,3.4,12.75,F
211_2,SF09-051,8,0.85,3.4,12.75,M
118_1,SF09-069,9,7.14,4.93,4.93,F
156_2,SF09-045,10,10.2,3.4,3.4,F
51_3,SF09-060,12,0.85,8.16,8.16,M
160_3,SF09-051,14,0.85,3.4,12.75,F
101_1,SF09-045,15,10.2,3.4,3.4,M
111_3,SF09-060,17,0.85,8.16,8.16,M
148_1,SF09-062,18,1.82,3.77,7.41,F
53_2,SF09-063,20,2.38,4.93,9.69,M
58_3,SF09-069,20,7.14,4.93,4.93,F
212_1,SF09-051,21,0.85,3.4,12.75,F
185_2,SF09-064,23,1.12,4.56,2.32,M
106_2,SF09-051,26,0.85,3.4,12.75,F
119_1,SF09-072,26,3.91,6.46,6.46,M
23_3,SF09-047,27,0.65,9.75,2.6,M
159_2,SF09-051,28,0.85,3.4,12.75,M
180_3,SF09-052,30,2.64,3.84,1.6,F
241_2,SF09-044,31,7.8,2.6,2.6,M
104_2,SF09-048,32,0.85,12.75,3.4,F
105_2,SF09-051,32,0.85,3.4,12.75,M
242_1,SF09-044,32,7.8,2.6,2.6,F
17_2,SF09-067,34,3.36,2.32,2.32,M
131_1,SF09-064,36,1.12,4.56,2.32,M
9_1,SF09-055,40,2.64,1.6,3.84,M
193_1,SF09-047,40,0.65,9.75,2.6,M
233_2,SF09-061,41,1.12,2.32,4.56,M
232_1,SF09-055,46,2.64,1.6,3.84,F
232_3,SF09-055,46,2.64,1.6,3.84,F
15_2,SF09-064,50,1.12,4.56,2.32,M
94_1,SF09-062,50,1.82,3.77,7.41,F
95_2,SF09-065,50,1.82,7.41,3.77,M
19_2,SF09-070,51,1.84,3.04,3.04,M
275_3,SF09-072,52,3.91,6.46,6.46,M
233_3,SF09-061,53,1.12,2.32,4.56,M
231_1,SF09-055,54,2.64,1.6,3.84,M
231_2,SF09-055,54,2.64,1.6,3.84,M
237_3,SF09-067,54,3.36,2.32,2.32,M
228_2,SF09-043,55,4.8,1.6,1.6,F
68_3,SF09-052,56,2.64,3.84,1.6,F
228_3,SF09-043,56,4.8,1.6,1.6,F
240_1,SF09-070,56,1.84,3.04,3.04,F
175_2,SF09-043,57,4.8,1.6,1.6,M
34_1,SF09-062,58,1.82,3.77,7.41,F
78_3,SF09-067,58,3.36,2.32,2.32,F
227_1,SF09-043,58,4.8,1.6,1.6,M
249_2,SF09-062,58,1.82,3.77,7.41,M
69_3,SF09-055,60,2.64,1.6,3.84,M
240_2,SF09-070,60,1.84,3.04,3.04,F
198_1,SF09-056,61,4.29,2.6,6.24,F
228_1,SF09-043,61,4.8,1.6,1.6,F
239_1,SF09-070,61,1.84,3.04,3.04,M
239_2,SF09-070,61,1.84,3.04,3.04,M
245_3,SF09-053,62,4.29,6.24,2.6,M
108_2,SF09-054,63,5.61,8.16,3.4,F
227_2,SF09-043,63,4.8,1.6,1.6,M
227_3,SF09-043,63,4.8,1.6,1.6,M
181_1,SF09-055,65,2.64,1.6,3.84,M
238_1,SF09-067,65,3.36,2.32,2.32,F
239_3,SF09-070,66,1.84,3.04,3.04,M
240_3,SF09-070,66,1.84,3.04,3.04,F
266_3,SF09-057,66,5.61,3.4,8.16,F
226_1,SF09-072,68,3.91,6.46,6.46,F
237_2,SF09-067,68,3.36,2.32,2.32,M
182_1,SF09-055,69,2.64,1.6,3.84,F
235_1,SF09-064,69,1.12,4.56,2.32,M
262_1,SF09-051,69,0.85,3.4,12.75,F
175_1,SF09-043,70,4.8,1.6,1.6,M
225_3,SF09-072,70,3.91,6.46,6.46,M
235_3,SF09-064,70,1.12,4.56,2.32,M
238_3,SF09-067,70,3.36,2.32,2.32,F
76_3,SF09-064,71,1.12,4.56,2.32,F
